#ClinGen Gene Curation Results
#24 Nov,2021
#Genomic Locations are reported on GRCh37 (hg19): GCF_000001405.13
#https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen
#to create link: https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=Gene Symbol
#Gene Symbol	Gene ID	cytoBand	Genomic Location	Haploinsufficiency Score	Haploinsufficiency Description	Haploinsufficiency PMID1	Haploinsufficiency PMID2	Haploinsufficiency PMID3	Haploinsufficiency PMID4	Haploinsufficiency PMID5	Haploinsufficiency PMID6	Triplosensitivity Score	Triplosensitivity Description	Triplosensitivity PMID1	Triplosensitivity PMID2	Triplosensitivity PMID3	Triplosensitivity PMID4	Triplosensitivity PMID5	Triplosensitivity PMID6	Date Last Evaluated	Loss phenotype OMIM ID	Triplosensitive phenotype OMIM ID
CBY2	220082	13q14.13	chr13:46276439-46288694	40	Dosage sensitivity unlikely	32487729	22344438	25807282	32461654			0	No evidence available							2021-02-03		
CC2D2A	57545	4p15.32	chr4:15471489-15603180	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2013-07-17		
CCBE1	147372	18q21.32	chr18:57098171-57364644	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	235510	
CCDC103	388389	17q21.31	chr17:42977080-42981047	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	614679	
CCDC39	339829	3q26.33	chr3:180331796-180397283	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	613807	
CCDC40	55036	17q25.3	chr17:78010431-78074412	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	613808	
CCDC8	83987	19q13.32	chr19:46913586-46916919	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	614205	
CCN6	8838	6q21	chr6:112375278-112390889	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	208230	
CCT5	22948	5p15.2	chr5:10250033-10266524	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	256840	
CD19	930	16p11.2	chr16:28943260-28950668	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	613493	
CD27	939	12p13.31	chr12:6554051-6560884	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	615122	
CD36	948	7q21.11	chr7:80231504-80308593	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	608404	
CD3D	915	11q23.3	chr11:118209789-118213459	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	615617	
CD3E	916	11q23.3	chr11:118175295-118186890	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2017-05-09	615615	
CD3G	917	11q23.3	chr11:118215059-118224497	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	615607	
CD40LG	959	Xq26.3	chrX:135730336-135742549	3	Sufficient evidence for dosage pathogenicity	22750225	24768948	16019685				0	No evidence available	29499223						2020-04-08		
CD59	966	11p13	chr11:33724556-33758025	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	612300	
CD8A	925	2p11.2	chr2:87011728-87035519	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	608957	
CDAN1	146059	15q15.2	chr15:43015760-43029417	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	224120	
CDC42BPB	9578	14q32.32	chr14:103398716-103523742	1	Little evidence for dosage pathogenicity	22495309	28263302					0	No evidence available							2018-10-24		
CDH1	999	16q22.1	chr16:68771193-68869445	3	Sufficient evidence for dosage pathogenicity	26182300	24037103	19168852				0	No evidence available							2020-04-10	137215	
CDH15	1013	16q24.3	chr16:89238163-89261900	0	No evidence available							0	No evidence available							2013-08-08	612580	
CDH23	64072	10q22.1	chr10:73156691-73575704	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22		
CDHR1	92211	10q23.1	chr10:85954391-85979377	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	613660	
CDIN1	84529	15q14	chr15:36871804-37102461	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	615631	
CDK4	1019	12q14.1	chr12:58141510-58146230	0	No evidence available							0	No evidence available							2020-09-02	609048	
CDK5RAP2	55755	9q33.2	chr9:123151147-123342448	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	604804	
CDK6	1021	7q21.2	chr7:92234235-92465941	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	616080	
CDKL5	6792	Xp22.13	chrX:18443725-18671749	3	Sufficient evidence for dosage pathogenicity	15492925	15689447	19241098				0	No evidence available							2012-07-12	300672	
CDKN1B	1027	12p13.1	chr12:12870204-12875317	3	Sufficient evidence for dosage pathogenicity	30990521	17519308	29036195				0	No evidence available							2020-07-08	610755	
CDKN1C	1028	11p15.4	chr11:2904448-2906995	3	Sufficient evidence for dosage pathogenicity	20503313	23197429	26077438				0	No evidence available	26358311						2020-09-25	130650	
CDT1	81620	16q24.3	chr16:88870186-88875666	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	613804	
CDY1	9085	Yq11.23	chrY:27768264-27771049	0	No evidence available							0	No evidence available							2012-08-22		
CEBPE	1053	14q11.2	chr14:23586515-23588820	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	245480	
CENPJ	55835	13q12.12-q12.13	chr13:25456412-25497027	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	608393	
CENPP	401541	9q22.31	chr9:95087750-95377446	0	No evidence available							0	No evidence available							2012-09-19		
CEP164	22897	11q23.3	chr11:117192494-117283982	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	614845	
CEP290	80184	12q21.32	chr12:88442790-88535993	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-08-22		
CEP78	84131	9q21.2	chr9:80850978-80886799	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2017-10-23		
CERS3	204219	15q26.3	chr15:100940600-101084925	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	615023	
CFAP53	220136	18q21.1	chr18:47753563-47792892	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	614779	
CFC1	55997	2q21.1	chr2:131349738-131357148	0	No evidence available							0	No evidence available							2021-09-22		
CFD	1675	19p13.3	chr19:859659-863569	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	613912	
CFL2	1073	14q13.1	chr14:35179588-35184029	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	610687	
CFTR	1080	7q31.2	chr7:117120017-117308719	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	219700	
CHAMP1	283489	13q34	chr13:115079810-115092803	2	Some evidence for dosage pathogenicity	26751395	26340335	27148580				0	No evidence available							2020-03-25	616579	
CHAT	1103	10q11.23	chr10:50817141-50873150	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	254210	
CHD1L	9557	1q21.1	chr1:146714291-146767447	0	No evidence available							0	No evidence available							2018-08-30		
CHD2	1106	15q26.1	chr15:93443551-93571237	3	Sufficient evidence for dosage pathogenicity	23708187	23020937	24207121				0	No evidence available							2019-10-23	615369	
CHD7	55636	8q12.2	chr8:61591324-61780587	3	Sufficient evidence for dosage pathogenicity	21158681	16400610	19248844				0	No evidence available							2012-07-06	214800	
CHD8	57680	14q11.2	chr14:21853353-21905457	3	Sufficient evidence for dosage pathogenicity	23160955	24998929	27824329				0	No evidence available							2018-04-25	615032	
CHEK1	1111	11q24.2	chr11:125495031-125546151	0	No evidence available	33504652	26689913					0	No evidence available							2021-11-10		
CHEK2	11200	22q12.1	chr22:29083731-29137822	3	Sufficient evidence for dosage pathogenicity	15122511	16897426	18381420				0	No evidence available							2020-01-08		
CHKB	1120	22q13.33	chr22:51017387-51021428	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	602541	
CHM	1121	Xq21.2	chrX:85116185-85302569	3	Sufficient evidence for dosage pathogenicity	33538369	27070432					0	No evidence available							2021-03-24	303100	
CHMP1A	5119	16q24.3	chr16:89710839-89724193	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	614961	
CHRDL1	91851	Xq23	chrX:109917084-110039286	3	Sufficient evidence for dosage pathogenicity	22284829	25093588	26020825				0	No evidence available							2016-12-08	309300	
CHRM3	1131	1q43	chr1:239550230-240078750	1	Little evidence for dosage pathogenicity	23253743						0	No evidence available							2015-03-11		
CHRNA7	1139	15q13.3	chr15:32322686-32462384	0	No evidence available							0	No evidence available							2018-05-10		
CHST6	4166	16q23.1	chr16:75507022-75528926	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	217800	
CHSY1	22856	15q26.3	chr15:101715928-101792137	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	605282	
CIC	23152	19q13.2	chr19:42772689-42799948	2	Some evidence for dosage pathogenicity	28288114	28263302	22542183				0	No evidence available							2019-08-17	617600	
CIDEC	63924	3p25.3	chr3:9908394-9921938	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	615238	
CLCF1	23529	11q13.2	chr11:67131639-67141648	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	610313	
CLCN4	1183	Xp22.2	chrX:10124985-10205700	2	Some evidence for dosage pathogenicity	25644381	27550844					0	No evidence available							2018-09-26	300114	
CLCN5	1184	Xp11.23	chrX:49687225-49863892	3	Sufficient evidence for dosage pathogenicity	15086899	22083641					0	No evidence available							2012-10-18	300009	
CLCNKA	1187	1p36.13	chr1:16348486-16360545	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-05-17	613090	
CLCNKB	1188	1p36.13	chr1:16370231-16383821	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2011-11-17	607364	
CLDN14	23562	21q22.13	chr21:37832919-37948867	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	614035	
CLMP	79827	11q24.1	chr11:122942714-123066013	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	615237	
CLN3	1201	16p12.1	chr16:28477974-28503623	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	204200	
CLN8	2055	8p23.3	chr8:1711870-1734736	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	600143	
CLNK	116449	4p16.1	chr4:10491838-10686386	0	No evidence available							0	No evidence available							2016-06-02		
CLPP	8192	19p13.3	chr19:6361463-6368915	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2018-03-06	614129	
CLRN1	7401	3q25.1	chr3:150643950-150690786	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	276902	
CNGB1	1258	16q21	chr16:57916244-58005020	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	613767	
CNKSR2	22866	Xp22.12	chrX:21392416-21672813	3	Sufficient evidence for dosage pathogenicity	22511892	25223753	25754917				0	No evidence available							2021-01-12	301008	
CNNM4	26504	2q11.2	chr2:97426639-97477628	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	217080	
CNOT3	4849	19q13.42	chr19:54641436-54659446	0	No evidence available							0	No evidence available							2018-06-27		
CNTN1	1272	12q12	chr12:41086244-41466214	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	612540	
CNTN2	6900	1q32.1	chr1:205012065-205047400	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	615400	
CNTN4	152330	3p26.3-p26.2	chr3:2140550-3099645	1	Little evidence for dosage pathogenicity	15106122	18349135	21308999				0	No evidence available	22750301						2017-10-18		
CNTN6	27255	3p26.3	chr3:1134342-1445292	1	Little evidence for dosage pathogenicity	25606055	26257835	27166760				0	No evidence available	26257835						2017-10-18		
CNTNAP2	26047	7q35-q36.1	chr7:145813453-148118090	1	Little evidence for dosage pathogenicity	22031302						0	No evidence available							2019-10-23		
COG1	9382	17q25.1	chr17:71189173-71204646	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	611209	
COG4	25839	16q22.1	chr16:70514472-70557457	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	613489	
COG7	91949	16p12.2	chr16:23399814-23464512	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-04-08	608779	
COG8	84342	16q22.1	chr16:69362524-69373526	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-03-25	611182	
COL11A1	1301	1p21.1	chr1:103342023-103574052	1	Little evidence for dosage pathogenicity	21035103						0	No evidence available							2011-10-19		
COL16A1	1307	1p35.2	chr1:32117848-32169768	40	Dosage sensitivity unlikely	32487729	22344438	32461654				0	No evidence available							2021-02-01		
COL1A1	1277	17q21.33	chr17:48261457-48279000	3	Sufficient evidence for dosage pathogenicity	9067755	9016532					0	No evidence available							2012-08-23	166200	
COL1A2	1278	7q21.3	chr7:94023873-94060544	0	No evidence available							0	No evidence available							2012-10-12		
COL2A1	1280	12q13.11	chr12:48366748-48398285	3	Sufficient evidence for dosage pathogenicity	27390512	27408751	17721977				0	No evidence available							2020-07-29	108300	
COL3A1	1281	2q32.2	chr2:189839099-189877472	3	Sufficient evidence for dosage pathogenicity	11577371	24922459	24650746				0	No evidence available							2017-01-12	130050	
COL4A3	1285	2q36.3	chr2:228029281-228179508	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2013-05-22	203780	
COL4A5	1287	Xq22.3	chrX:107683074-107940775	3	Sufficient evidence for dosage pathogenicity	16941480	10752524	30577881				0	No evidence available							2020-09-08	301050	
COL5A1	1289	9q34.3	chr9:137533651-137736689	3	Sufficient evidence for dosage pathogenicity	10777716	8673139	10796876				0	No evidence available							2017-12-14	130000	
COL6A5	256076	3q22.1	chr3:130064359-130203690	40	Dosage sensitivity unlikely	32487729	26940866	28406212	25807282	32461654		0	No evidence available							2021-02-02		
COL9A1	1297	6q13	chr6:70925743-71012786	0	No evidence available							0	No evidence available							2013-11-06	614135	
COL9A2	1298	1p34.2	chr1:40766163-40782939	0	No evidence available							0	No evidence available							2013-10-09		
COLEC11	78989	2p25.3	chr2:3642422-3692234	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	265050	
COLQ	8292	3p25.1	chr3:15491640-15563258	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	603034	
