Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
CD40	gene	CD40	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Immunodeficiency with hyper-IgM, type 3;HIGM3;CD40 deficiency;CSR defects and Hyper IgM (HIGM) syndromes;Hyper-IgM syndrome due to CD40 deficiency;non-X-linked hyper IgM syndrome;Neutropenia, opportunistic infections, gastrointestinal and biliary tract and liver disease, Cryptosporidium infections;Immunodeficiencies affecting cellular and humoral immunity				11675497;20301287;12584544;24122029;17502893		False	3	100;0;0	2.465	False		ENSG00000101017	ENSG00000101017	HGNC:11919													
CD40LG	gene	CD40LG	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			X-LINKED: hemizygous mutation in males, biallelic mutations in females	Immunodeficiency, X-linked, with hyper-IgM;CD40 ligand deficiency;CSR defects and Hyper IgM (HIGM) syndromes;Hyper-IGM immunodeficiency, X-linked;XHIM;Hyper-IGM syndrome;HIGM;IHIS;Immunodeficiency 3;IMD3;Hyper-IgM syndrome due to CD40 ligand deficiency;Hyper-IgM syndrome due to CD40L deficiency;Hyper-IgM syndrome type 1;HIGM1;Neutropenia, thrombocytopenia, hemolytic anemia, opportunistic infections, biliary tract and liver disease, Cryptosporidium infections;Immunodeficiencies affecting cellular and humoral immunity				11875495;7678782;7679801;27189378;8094231;20301576;27697500;19931163;17146684;7882172;25840720;7586644;7679206		False	3	100;0;0	2.465	False		ENSG00000102245	ENSG00000102245	HGNC:11935													
CD46	gene	CD46	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Hemolytic uremic syndrome, atypical, susceptibility to, 2, 612922;Membrane Cofactor Protein (CD46) deficiency;atypical HUS;Atypical hemolytic-uremic syndrome, infections, preeclampsia;Complement Deficiencies				14615110;14566051;16621965		False	3	100;0;0	2.465	False		ENSG00000117335	ENSG00000117335	HGNC:6953													
CD55	gene	CD55	ESID Registry 20171117;Expert Review Green;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Decay-accelerating factor for complement deficiency (DAF CD55);protein-losing enteropathy;hypogammaglobulinaemia;angiopathic thrombosis;primary intestinal lymphangiectasia;Protein losing enteropathy, thrombosis;Complement Deficiencies				28657829		False	3	100;0;0	2.465	False		ENSG00000196352	ENSG00000196352	HGNC:2665													
CD59	gene	CD59	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Hemolytic anemia, CD59-mediated, with or without immune-mediated polyneuropathy, 612300;CD59 antigen P18-20 deficiency (CD59);Membrane Attack Complex Inhibitor (CD59) deficiency;Primary CD59 deficiency;paroxysmal nocturnal haemoglobinuria;chronic hemolysis;childhood relapsing immune-mediated polyneuropathy;Hemolytic anemia, polyneuropathy;Complement Deficiencies				1382994;23149847;24382084;1699124;25716358		False	3	100;0;0	2.465	False		ENSG00000085063	ENSG00000085063	HGNC:1689													
CD70	gene	CD70	ESID Registry 20171117;Expert Review Green;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Combined immunodeficiency;CD70-deficiency;EBV-related malignancy;EBV susceptibility, Hodgkin lymphoma;Diseases of Immune Dysregulation				28011864;28011863;29434583		False	3	100;0;0	2.465	False		ENSG00000125726	ENSG00000125726	HGNC:11937													
CD79A	gene	CD79A	A- or hypo-gammaglobulinaemia v1.25;ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Agammaglobulinemia 3, 613501;Agammaglobulinemia 3;Agammaglobulinemia;CD79A deficiency;Agammaglobulinemia with autosomal recessive inheritance (ARA);Severe bacterial infections, normal numbers of pro-B cells;Predominantly Antibody Deficiencies				10525050;11920841;24481606;29335801;24909997;19302039		False	3	83;0;17	2.465	False		ENSG00000105369	ENSG00000105369	HGNC:1698													
CD79B	gene	CD79B	A- or hypo-gammaglobulinaemia v1.25;ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Agammaglobulinemia 6, 612692;Agammaglobulinemia 6;Agammaglobulinemia;CD79B deficiency, Agammaglobulinemia with autosomal recessive inheritance (ARA);Severe bacterial infections, normal numbers of pro-B cells;Predominantly Antibody Deficiencies				17675462;17709424;24722855		False	3	80;0;20	2.465	False		ENSG00000007312	ENSG00000007312	HGNC:1699													
CDCA7	gene	CDCA7	Expert Review Green;IUIS Classification February 2018;Literature;London North GLH;NHS GMS;North West GLH	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Immunodeficiency-centromeric instability-facial anomalies syndrome;ICF;Immunodeficiency-centromeric instability-facial anomalies syndrome 3, 616910;ICF3;immunodeficiency, centromeric instability, facial anomalies syndrome type 3;recurrent respiratory infections;hypogammaglobulinaemia;enteropathy;Facial dysmorphic features, macroglossia, bacterial/opportunistic infections, malabsorption, cytopenias, malignancies,  multiradial configurations of chromosomes 1, 9, 16;Combined immunodeficiencies with associated or syndromic features				29339483;28128455;27328760;26216346;29659838;15952214;1999836;26216346		False	3	100;0;0	2.465	False		ENSG00000144354	ENSG00000144354	HGNC:14628													
CEBPE	gene	CEBPE	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Specific granule deficiency, 245480;Specific granule deficiency 1;CCAAT/enhancer binding protein epsilon deficiency (CEBPE);Recurrent infection due to specific granule deficiency;neutrophil lactoferrin deficiency;Neutrophils with bilobed nuclei;Congenital defects of phagocyte number or function				10359588;11313242;29651288		False	3	100;0;0	2.465	False		ENSG00000092067	ENSG00000092067	HGNC:1836													
CFD	gene	CFD	ESID Registry 20171117;Expert Review Green;GRID V2.0;Inherited complement deficiency v0.11;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Complement factor D deficiency, 613912;Complement factor D deficiency;Factor D deficiency;Recurrent Neisseria infections due to factor D deficiency;Neisserial infections;Complement Deficiencies				11457876;16527897;11457876;6568950;29522842		False	3	100;0;0	2.465	False		ENSG00000197766	ENSG00000197766	HGNC:2771													
CFH	gene	CFH	ESID Registry 20171117;Expert Review Green;GRID V2.0;Inherited complement deficiency v0.11;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Complement factor H deficiency, 609814;Infections, disseminated neisserial infections, atypical Hemolytic-uremic syndrome, preeclampsia, dense deposit disease;Complement Deficiencies				7742208;9312129;10803850;2966809;14978182;16612335;1701856;24722444		False	3	100;0;0	2.465	False		ENSG00000000971	ENSG00000000971	HGNC:4883													
CFI	gene	CFI	ESID Registry 20171117;Expert Review Green;GRID V2.0;Inherited complement deficiency v0.11;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Complement factor I deficiency, 610984;{Hemolytic uremic syndrome, atypical, susceptibility to, 3}, 612923;{Macular degeneration, age-related, 13, susceptibility to}, 615439;Complement factor I deficiency;C3b inactivator deficiency;Factor I deficiency;Immunodeficiency with factor I anomaly;Infections, disseminated neisserial infections, atypical Hemolytic-uremic syndrome, preeclampsia;Complement Deficiencies				8613545;3897024;12562389;8613545;27091480;25988862;22710145;21316765;18374984;19065647;22710145;24142231		False	3	100;0;0	2.465	False		ENSG00000205403	ENSG00000205403	HGNC:5394													
CFP	gene	CFP	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			X-LINKED: hemizygous mutation in males, biallelic mutations in females	Properdin deficiency;Properdin P factor complement deficiency (PFC);Neisserial infections;Complement Deficiencies				8530058;10909851;7151327;22229731;6903190		False	3	100;0;0	2.465	False		ENSG00000126759	ENSG00000126759	HGNC:8864													
CHD7	gene	CHD7	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Charge syndrome;CHARGE syndrome, 214800;Immunodeficiency;COLOBOMA, HEART ANOMALY, CHOANAL ATRESIA, RETARDATION, GENITAL AND EAR ANOMALIES;Coloboma, heart anomaly, choanal atresia, intellectual disability, genital and ear anomalies, CNS malformation, some are SCID-like and have low TRECs;Combined immunodeficiencies with associated or syndromic features				29159871;22461308;29531775;21378379;15300250;25689927;26563674;26544072;26544072;26563674;18976358;19403480;19187738;18505430;20052490		False	3	100;0;0	2.465	False		ENSG00000171316	ENSG00000171316	HGNC:20626													
CIITA	gene	CIITA	Combined B and T cell defect v1.12;ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Bare lymphocyte syndrome, type II, complementation group A;Combined immunodeficiency (MHC class II deficiency, bare lymphocyte syndrome);HLA class II deficiency;Respiratory and gastrointestinal infections, liver/biliary tract disease;Immunodeficiencies affecting cellular and humoral immunity				8402893;11862382;9099848		False	3	100;0;0	2.465	False		ENSG00000179583	ENSG00000179583	HGNC:7067													
CLPB	gene	CLPB	Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	3-methylglutaconic aciduria, type VII;3-methylglutaconic aciduria, type VII, with cataracts, neurologic involvement and neutropenia, 616271;3-methylglutaconic aciduria, type 7;Recurrent or severe infection;Neurocognitive developmental aberrations, microcephaly, hypoglycemia, hypotonia, ataxia, seizures, cataracts, IUGR;Congenital defects of phagocyte number or function				27891836;25597510;28687938;25597511;25650066;26916670		False	3	100;0;0	2.465	False		ENSG00000162129	ENSG00000162129	HGNC:30664													
COPA	gene	COPA	Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Autoimmune inflammatoy arthritis and interstial lung disease, 616414;Autoimmune interstitial lung disease-arthritis syndrome;COPA syndrome;Autoimmune inflammatory arthritis and interstitial lung disease with Th17 dysregulation and autoantibody production;Autoinflammatory Disorders				28956095;25894502;29137621		False	3	100;0;0	2.465	False		ENSG00000122218	ENSG00000122218	HGNC:2230													
CORO1A	gene	CORO1A	Combined B and T cell defect v1.12;ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Immunodeficiency 8;Combined immunodeficiency;hypogammaglobulinaemia, combined immunodeficiency;Coronin-1A deficiency;Atypical Severe Combined Immunodeficiency (Atypical SCID);Severe combined immunodeficiency (SCID);Omenn syndrome;Detectable thymus, EBV;Immunodeficiencies affecting cellular and humoral immunity				23522482;19097825;18836449;25073507		False	3	100;0;0	2.465	False		ENSG00000102879	ENSG00000102879	HGNC:2252													
CSF2RA	gene	CSF2RA	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Surfactant metabolism dysfunction, pulmonary 4,  300770;Congenital pulmonary alveolar proteinosis;hypersensitivity;Pulmonary alveolar proteinosis;Alveolar proteinosis;Congenital defects of phagocyte number or function				18955567;18955570;1972780;23632888		False	3	100;0;0	2.465	False		ENSG00000198223	ENSG00000198223	HGNC:2435													
CSF2RB	gene	CSF2RB	Expert Review Green;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Surfactant metabolism dysfunction, pulmonary, 5, 614370;Alveolar proteinosis;Congenital defects of phagocyte number or function				9410898;21205713;21075760		False	3	80;0;20	2.465	False		ENSG00000100368	ENSG00000100368	HGNC:2436													
CSF3R	gene	CSF3R	Congenital neutropaenia v1.22;ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Neutropenia, severe congenital, 7, autosomal recessive, 617014;Neutropenia, severe congenital 7;Congenital neutropenia;N/A;Congenital defects of phagocyte number or function				24753537;26324699;29070147;19620628		False	3	80;0;20	2.465	False		ENSG00000119535	ENSG00000119535	HGNC:2439													
CTLA4	gene	CTLA4	A- or hypo-gammaglobulinaemia v1.25;ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	CVID;hypogammaglobulinaemia;lymphadenopathy;T cell lymphopenia;enteropathy;interstitual lung disease;autoimmunity;Autoimmune lymphoproliferative syndrome, type V 616100;Autoimmune lymphoproliferative syndrome, type V;Combined immunodeficiency;Early-onset multi-organ autoimmune disease;Immune dysregulation;a broad range of autoimmune phenomena have been described along with polyclonal lymphocytic infiltrates. Susceptibility to infection and hypogammaglobulinaemia are not usually present in isolation;Autoimmune cytopenias, enteropathy, interstitial lung disease, extra-lymphoid lymphocytic infiltration recurrent infections;Diseases of Immune Dysregulation				25213377;25329329;29729943		False	3	100;0;0	2.465	False		ENSG00000163599	ENSG00000163599	HGNC:2505													
